2024-11-27 22:44:07,692 - INFO - Epoch 1/100 - Train Loss: 177758863.6640, RMSE: 12179.9713 | Val Loss: 20006724.2738, RMSE: 4068.9441
2024-11-27 22:44:12,279 - INFO - Epoch 2/100 - Train Loss: 21582830.4630, RMSE: 4096.4261 | Val Loss: 11148738.7421, RMSE: 3150.6576
2024-11-27 22:44:16,877 - INFO - Epoch 3/100 - Train Loss: 15692543.5060, RMSE: 3521.5257 | Val Loss: 8846580.3889, RMSE: 2827.3848
2024-11-27 22:44:21,402 - INFO - Epoch 4/100 - Train Loss: 13311032.9095, RMSE: 3207.6611 | Val Loss: 6073445.6508, RMSE: 2336.7287
2024-11-27 22:44:25,865 - INFO - Epoch 5/100 - Train Loss: 13138283.7650, RMSE: 3177.0013 | Val Loss: 5854391.9524, RMSE: 2290.2544
2024-11-27 22:44:30,383 - INFO - Epoch 6/100 - Train Loss: 12278795.7280, RMSE: 3080.3518 | Val Loss: 6131549.3571, RMSE: 2393.6442
2024-11-27 22:44:34,902 - INFO - Epoch 7/100 - Train Loss: 11913750.2340, RMSE: 3049.2160 | Val Loss: 6741493.3016, RMSE: 2500.2902
2024-11-27 22:44:39,310 - INFO - Epoch 8/100 - Train Loss: 11060716.4650, RMSE: 2890.8114 | Val Loss: 5922147.6329, RMSE: 2338.2505
2024-11-27 22:44:43,886 - INFO - Epoch 9/100 - Train Loss: 11213986.2870, RMSE: 2977.1338 | Val Loss: 5304728.5794, RMSE: 2195.6636
2024-11-27 22:44:48,372 - INFO - Epoch 10/100 - Train Loss: 9975620.5545, RMSE: 2784.3163 | Val Loss: 5551958.9802, RMSE: 2256.2033
2024-11-27 22:44:52,821 - INFO - Epoch 11/100 - Train Loss: 9635857.8040, RMSE: 2761.8248 | Val Loss: 6201260.4028, RMSE: 2405.4816
2024-11-27 22:44:57,325 - INFO - Epoch 12/100 - Train Loss: 9579150.0470, RMSE: 2734.1172 | Val Loss: 4889758.9464, RMSE: 2118.0453
2024-11-27 22:45:01,808 - INFO - Epoch 13/100 - Train Loss: 10057123.2180, RMSE: 2797.4191 | Val Loss: 5266873.3313, RMSE: 2180.2763
2024-11-27 22:45:06,235 - INFO - Epoch 14/100 - Train Loss: 9465234.8470, RMSE: 2707.2182 | Val Loss: 5046707.0317, RMSE: 2147.1649
2024-11-27 22:45:10,684 - INFO - Epoch 15/100 - Train Loss: 9573658.6430, RMSE: 2735.2305 | Val Loss: 5481604.7460, RMSE: 2252.5532
2024-11-27 22:45:15,075 - INFO - Epoch 16/100 - Train Loss: 9586489.4425, RMSE: 2717.4924 | Val Loss: 5220176.9087, RMSE: 2182.8866
2024-11-27 22:45:19,509 - INFO - Epoch 17/100 - Train Loss: 9114755.0465, RMSE: 2625.5054 | Val Loss: 4680250.2917, RMSE: 2080.6406
2024-11-27 22:45:23,908 - INFO - Epoch 18/100 - Train Loss: 9151392.3830, RMSE: 2641.4214 | Val Loss: 5095013.6944, RMSE: 2150.8306
2024-11-27 22:45:28,376 - INFO - Epoch 19/100 - Train Loss: 9237898.9965, RMSE: 2683.3175 | Val Loss: 4476643.8115, RMSE: 2024.7501
2024-11-27 22:45:32,762 - INFO - Epoch 20/100 - Train Loss: 8696086.0645, RMSE: 2592.2408 | Val Loss: 4615763.0000, RMSE: 2060.3649
2024-11-27 22:45:37,177 - INFO - Epoch 21/100 - Train Loss: 8565583.3475, RMSE: 2592.8735 | Val Loss: 5304210.9385, RMSE: 2210.5494
2024-11-27 22:45:41,696 - INFO - Epoch 22/100 - Train Loss: 8119110.8400, RMSE: 2531.2020 | Val Loss: 4897910.0516, RMSE: 2131.4096
2024-11-27 22:45:46,142 - INFO - Epoch 23/100 - Train Loss: 8146288.7810, RMSE: 2529.2750 | Val Loss: 4798705.9087, RMSE: 2098.7787
2024-11-27 22:45:50,534 - INFO - Epoch 24/100 - Train Loss: 8302701.3960, RMSE: 2561.8327 | Val Loss: 4566238.2877, RMSE: 2062.4295
2024-11-27 22:45:54,888 - INFO - Epoch 25/100 - Train Loss: 7850294.8030, RMSE: 2507.4290 | Val Loss: 5023532.8472, RMSE: 2136.4568
2024-11-27 22:45:59,241 - INFO - Epoch 26/100 - Train Loss: 7828861.1230, RMSE: 2501.1150 | Val Loss: 4813298.5357, RMSE: 2102.1829
2024-11-27 22:46:03,639 - INFO - Epoch 27/100 - Train Loss: 7707440.2165, RMSE: 2491.8672 | Val Loss: 5194830.4444, RMSE: 2197.5633
2024-11-27 22:46:08,003 - INFO - Epoch 28/100 - Train Loss: 7584146.4885, RMSE: 2468.9357 | Val Loss: 5846950.5099, RMSE: 2320.3822
2024-11-27 22:46:12,354 - INFO - Epoch 29/100 - Train Loss: 7502128.1975, RMSE: 2437.7185 | Val Loss: 5113645.3214, RMSE: 2165.5804
2024-11-27 22:46:16,690 - INFO - Epoch 30/100 - Train Loss: 7557754.6950, RMSE: 2453.0187 | Val Loss: 4577343.0258, RMSE: 2040.0407
2024-11-27 22:46:21,105 - INFO - Epoch 31/100 - Train Loss: 7568963.4215, RMSE: 2422.0434 | Val Loss: 4678376.8155, RMSE: 2062.2615
2024-11-27 22:46:25,763 - INFO - Epoch 32/100 - Train Loss: 7478720.7820, RMSE: 2448.2277 | Val Loss: 5371984.6190, RMSE: 2247.8987
2024-11-27 22:46:30,347 - INFO - Epoch 33/100 - Train Loss: 7664312.8305, RMSE: 2463.7983 | Val Loss: 5078414.8829, RMSE: 2152.6585
2024-11-27 22:46:34,962 - INFO - Epoch 34/100 - Train Loss: 7480451.0490, RMSE: 2436.0061 | Val Loss: 5419925.4306, RMSE: 2216.7150
2024-11-27 22:46:39,576 - INFO - Epoch 35/100 - Train Loss: 7087944.5560, RMSE: 2365.9794 | Val Loss: 6575037.8552, RMSE: 2356.8700
2024-11-27 22:46:44,098 - INFO - Epoch 36/100 - Train Loss: 7153330.4455, RMSE: 2355.6680 | Val Loss: 5130863.6250, RMSE: 2155.5813
2024-11-27 22:46:48,697 - INFO - Epoch 37/100 - Train Loss: 7155963.1055, RMSE: 2369.8528 | Val Loss: 4922699.4484, RMSE: 2103.5260
2024-11-27 22:46:53,206 - INFO - Epoch 38/100 - Train Loss: 6964059.2560, RMSE: 2338.3393 | Val Loss: 4934295.7371, RMSE: 2109.8734
2024-11-27 22:46:57,750 - INFO - Epoch 39/100 - Train Loss: 6993321.3160, RMSE: 2340.6316 | Val Loss: 4774682.4266, RMSE: 2080.6035
2024-11-27 22:46:57,828 - INFO - Early stopping triggered at epoch 39
2024-11-27 22:46:57,830 - INFO - Validation phase completed. Now training on full dataset...
2024-11-27 22:47:03,166 - INFO - Epoch 1/100 - Train Loss: 124897027.8978, RMSE: 9504.3958
2024-11-27 22:47:08,633 - INFO - Epoch 2/100 - Train Loss: 16230054.9010, RMSE: 3584.8047
2024-11-27 22:47:13,908 - INFO - Epoch 3/100 - Train Loss: 13697334.2612, RMSE: 3296.4106
2024-11-27 22:47:19,225 - INFO - Epoch 4/100 - Train Loss: 12203432.7476, RMSE: 3109.8992
2024-11-27 22:47:24,479 - INFO - Epoch 5/100 - Train Loss: 10955813.0599, RMSE: 2921.4527
2024-11-27 22:47:29,656 - INFO - Epoch 6/100 - Train Loss: 10588023.7268, RMSE: 2919.0353
2024-11-27 22:47:34,935 - INFO - Epoch 7/100 - Train Loss: 10227475.3287, RMSE: 2818.9344
2024-11-27 22:47:40,325 - INFO - Epoch 8/100 - Train Loss: 9682859.1893, RMSE: 2789.9286
2024-11-27 22:47:45,865 - INFO - Epoch 9/100 - Train Loss: 9479571.6006, RMSE: 2751.1638
2024-11-27 22:47:51,416 - INFO - Epoch 10/100 - Train Loss: 9336400.7344, RMSE: 2702.4925
2024-11-27 22:47:56,581 - INFO - Epoch 11/100 - Train Loss: 9284867.6573, RMSE: 2713.9352
2024-11-27 22:48:01,894 - INFO - Epoch 12/100 - Train Loss: 8961465.4109, RMSE: 2689.1224
2024-11-27 22:48:07,159 - INFO - Epoch 13/100 - Train Loss: 8835521.1573, RMSE: 2636.9731
2024-11-27 22:48:12,522 - INFO - Epoch 14/100 - Train Loss: 8750233.3902, RMSE: 2625.8708
2024-11-27 22:48:17,903 - INFO - Epoch 15/100 - Train Loss: 8575411.9245, RMSE: 2614.7483
2024-11-27 22:48:23,318 - INFO - Epoch 16/100 - Train Loss: 8680465.2416, RMSE: 2605.6237
2024-11-27 22:48:28,658 - INFO - Epoch 17/100 - Train Loss: 8452618.3251, RMSE: 2572.6049
2024-11-27 22:48:34,008 - INFO - Epoch 18/100 - Train Loss: 8575815.5260, RMSE: 2574.1554
2024-11-27 22:48:39,319 - INFO - Epoch 19/100 - Train Loss: 8221756.0978, RMSE: 2548.6272
2024-11-27 22:48:44,634 - INFO - Epoch 20/100 - Train Loss: 7997760.5335, RMSE: 2542.8878
2024-11-27 22:48:50,012 - INFO - Epoch 21/100 - Train Loss: 7898737.5447, RMSE: 2498.0898
2024-11-27 22:48:55,406 - INFO - Epoch 22/100 - Train Loss: 7917182.9201, RMSE: 2528.7016
2024-11-27 22:49:00,834 - INFO - Epoch 23/100 - Train Loss: 7769324.1374, RMSE: 2499.0446
2024-11-27 22:49:05,974 - INFO - Epoch 24/100 - Train Loss: 7713753.5998, RMSE: 2486.1237
2024-11-27 22:49:11,571 - INFO - Epoch 25/100 - Train Loss: 7339655.2159, RMSE: 2438.0596
2024-11-27 22:49:17,233 - INFO - Epoch 26/100 - Train Loss: 7528558.4034, RMSE: 2450.8679
2024-11-27 22:49:22,838 - INFO - Epoch 27/100 - Train Loss: 7243593.4237, RMSE: 2405.7453
2024-11-27 22:49:28,466 - INFO - Epoch 28/100 - Train Loss: 7035461.6402, RMSE: 2390.0416
2024-11-27 22:49:34,006 - INFO - Epoch 29/100 - Train Loss: 6784481.6106, RMSE: 2343.0854
2024-11-27 22:49:39,472 - INFO - Epoch 30/100 - Train Loss: 7111529.9171, RMSE: 2380.6319
2024-11-27 22:49:44,934 - INFO - Epoch 31/100 - Train Loss: 6803615.5695, RMSE: 2356.3115
2024-11-27 22:49:50,342 - INFO - Epoch 32/100 - Train Loss: 7103208.8131, RMSE: 2383.3246
2024-11-27 22:49:55,770 - INFO - Epoch 33/100 - Train Loss: 6589832.6538, RMSE: 2296.0213
2024-11-27 22:50:01,182 - INFO - Epoch 34/100 - Train Loss: 6681367.1625, RMSE: 2313.5248
2024-11-27 22:50:06,561 - INFO - Epoch 35/100 - Train Loss: 6584349.8542, RMSE: 2287.9213
2024-11-27 22:50:11,954 - INFO - Epoch 36/100 - Train Loss: 6636946.4720, RMSE: 2307.1826
2024-11-27 22:50:17,247 - INFO - Epoch 37/100 - Train Loss: 6708807.3027, RMSE: 2324.5500
2024-11-27 22:50:22,702 - INFO - Epoch 38/100 - Train Loss: 6602401.8506, RMSE: 2294.7432
2024-11-27 22:50:28,132 - INFO - Epoch 39/100 - Train Loss: 6377326.8918, RMSE: 2273.8252
2024-11-27 22:50:33,522 - INFO - Epoch 40/100 - Train Loss: 6262850.0783, RMSE: 2233.3876
2024-11-27 22:50:39,137 - INFO - Epoch 41/100 - Train Loss: 6237754.5795, RMSE: 2232.3533
2024-11-27 22:50:44,651 - INFO - Epoch 42/100 - Train Loss: 6203769.6713, RMSE: 2230.2591
2024-11-27 22:50:49,955 - INFO - Epoch 43/100 - Train Loss: 6237998.8043, RMSE: 2229.3404
2024-11-27 22:50:55,324 - INFO - Epoch 44/100 - Train Loss: 6258292.8271, RMSE: 2224.7846
2024-11-27 22:51:00,545 - INFO - Epoch 45/100 - Train Loss: 6344127.0204, RMSE: 2239.4656
2024-11-27 22:51:05,852 - INFO - Epoch 46/100 - Train Loss: 6097902.9728, RMSE: 2212.1118
2024-11-27 22:51:11,204 - INFO - Epoch 47/100 - Train Loss: 5879776.0998, RMSE: 2161.2113
2024-11-27 22:51:16,504 - INFO - Epoch 48/100 - Train Loss: 6212164.9449, RMSE: 2208.3393
2024-11-27 22:51:21,870 - INFO - Epoch 49/100 - Train Loss: 6114948.6410, RMSE: 2189.1063
2024-11-27 22:51:27,404 - INFO - Epoch 50/100 - Train Loss: 6074193.1172, RMSE: 2183.4483
2024-11-27 22:51:32,550 - INFO - Epoch 51/100 - Train Loss: 5760785.1993, RMSE: 2132.4833
2024-11-27 22:51:37,609 - INFO - Epoch 52/100 - Train Loss: 5979784.0280, RMSE: 2185.3788
2024-11-27 22:51:42,700 - INFO - Epoch 53/100 - Train Loss: 6012420.1278, RMSE: 2172.2780
2024-11-27 22:51:47,744 - INFO - Epoch 54/100 - Train Loss: 5809943.1589, RMSE: 2121.9050
2024-11-27 22:51:52,791 - INFO - Epoch 55/100 - Train Loss: 5537208.7867, RMSE: 2100.4236
2024-11-27 22:51:57,889 - INFO - Epoch 56/100 - Train Loss: 5735542.5711, RMSE: 2127.5597
2024-11-27 22:52:02,958 - INFO - Epoch 57/100 - Train Loss: 5684582.9249, RMSE: 2128.2341
2024-11-27 22:52:08,291 - INFO - Epoch 58/100 - Train Loss: 5617655.3546, RMSE: 2098.6161
2024-11-27 22:52:13,508 - INFO - Epoch 59/100 - Train Loss: 5639896.9864, RMSE: 2096.7971
2024-11-27 22:52:18,758 - INFO - Epoch 60/100 - Train Loss: 5567313.3319, RMSE: 2093.0984
2024-11-27 22:52:23,931 - INFO - Epoch 61/100 - Train Loss: 5765528.9577, RMSE: 2115.6478
2024-11-27 22:52:29,121 - INFO - Epoch 62/100 - Train Loss: 5570186.4988, RMSE: 2084.0451
2024-11-27 22:52:34,375 - INFO - Epoch 63/100 - Train Loss: 5532892.2993, RMSE: 2073.6549
2024-11-27 22:52:39,665 - INFO - Epoch 64/100 - Train Loss: 5568429.7001, RMSE: 2077.8085
2024-11-27 22:52:44,917 - INFO - Epoch 65/100 - Train Loss: 5461373.4529, RMSE: 2054.4687
2024-11-27 22:52:50,382 - INFO - Epoch 66/100 - Train Loss: 5536865.6653, RMSE: 2071.4512
