2024-11-28 17:41:31,877 - INFO - Epoch 1/100 - Train Loss: 126718341.7500, RMSE: 9557.3458 | Val Loss: 11723932.5079, RMSE: 3190.1327
2024-11-28 17:41:37,118 - INFO - Epoch 2/100 - Train Loss: 17195877.3060, RMSE: 3634.8953 | Val Loss: 6915141.7976, RMSE: 2464.0089
2024-11-28 17:41:42,218 - INFO - Epoch 3/100 - Train Loss: 13959940.5800, RMSE: 3280.6582 | Val Loss: 5987633.4405, RMSE: 2334.5323
2024-11-28 17:41:47,614 - INFO - Epoch 4/100 - Train Loss: 13080434.2360, RMSE: 3150.1074 | Val Loss: 6529017.0119, RMSE: 2404.4182
2024-11-28 17:41:53,173 - INFO - Epoch 5/100 - Train Loss: 12025197.2150, RMSE: 3038.0283 | Val Loss: 5814153.1032, RMSE: 2308.4774
2024-11-28 17:41:57,476 - INFO - Epoch 6/100 - Train Loss: 11443139.3030, RMSE: 2972.0006 | Val Loss: 5464383.1290, RMSE: 2221.7167
2024-11-28 17:42:02,069 - INFO - Epoch 7/100 - Train Loss: 11197931.4155, RMSE: 2956.3746 | Val Loss: 6888134.6409, RMSE: 2474.5651
2024-11-28 17:42:06,815 - INFO - Epoch 8/100 - Train Loss: 10179915.5170, RMSE: 2784.5032 | Val Loss: 5592998.6230, RMSE: 2291.5684
2024-11-28 17:42:11,276 - INFO - Epoch 9/100 - Train Loss: 10473631.3785, RMSE: 2845.3638 | Val Loss: 4960020.6111, RMSE: 2144.5225
2024-11-28 17:42:15,690 - INFO - Epoch 10/100 - Train Loss: 10101069.8680, RMSE: 2774.5428 | Val Loss: 5120936.2778, RMSE: 2176.7325
2024-11-28 17:42:20,368 - INFO - Epoch 11/100 - Train Loss: 9877609.2500, RMSE: 2692.9311 | Val Loss: 5520395.8452, RMSE: 2246.9869
2024-11-28 17:42:24,735 - INFO - Epoch 12/100 - Train Loss: 8939837.0765, RMSE: 2626.4671 | Val Loss: 5030526.0813, RMSE: 2140.1269
2024-11-28 17:42:29,151 - INFO - Epoch 13/100 - Train Loss: 8783681.0605, RMSE: 2598.0654 | Val Loss: 4927102.7103, RMSE: 2158.7180
2024-11-28 17:42:33,421 - INFO - Epoch 14/100 - Train Loss: 9118347.2525, RMSE: 2625.1128 | Val Loss: 5822334.1508, RMSE: 2323.1376
2024-11-28 17:42:37,715 - INFO - Epoch 15/100 - Train Loss: 9033003.4180, RMSE: 2631.2235 | Val Loss: 5260008.2956, RMSE: 2180.3108
2024-11-28 17:42:42,013 - INFO - Epoch 16/100 - Train Loss: 8505327.1400, RMSE: 2574.7464 | Val Loss: 4907508.9226, RMSE: 2122.9667
2024-11-28 17:42:46,389 - INFO - Epoch 17/100 - Train Loss: 8645492.6715, RMSE: 2556.8027 | Val Loss: 5053871.6488, RMSE: 2157.4641
2024-11-28 17:42:50,745 - INFO - Epoch 18/100 - Train Loss: 8317421.7095, RMSE: 2549.1920 | Val Loss: 4477699.8115, RMSE: 2028.1341
2024-11-28 17:42:55,101 - INFO - Epoch 19/100 - Train Loss: 7979900.9745, RMSE: 2503.0185 | Val Loss: 6408119.1468, RMSE: 2413.6015
2024-11-28 17:42:59,324 - INFO - Epoch 20/100 - Train Loss: 7882865.0250, RMSE: 2475.3557 | Val Loss: 4856021.7202, RMSE: 2103.0588
2024-11-28 17:43:03,737 - INFO - Epoch 21/100 - Train Loss: 7339275.9990, RMSE: 2397.1726 | Val Loss: 4752714.2540, RMSE: 2081.1353
2024-11-28 17:43:07,984 - INFO - Epoch 22/100 - Train Loss: 7479962.5285, RMSE: 2424.5728 | Val Loss: 5400458.7222, RMSE: 2233.2242
2024-11-28 17:43:12,272 - INFO - Epoch 23/100 - Train Loss: 7515851.3565, RMSE: 2421.6577 | Val Loss: 4936160.8611, RMSE: 2128.1339
2024-11-28 17:43:16,563 - INFO - Epoch 24/100 - Train Loss: 7574955.6055, RMSE: 2429.5146 | Val Loss: 4663909.3512, RMSE: 2076.8414
2024-11-28 17:43:21,001 - INFO - Epoch 25/100 - Train Loss: 7220905.7180, RMSE: 2377.8286 | Val Loss: 4565738.1845, RMSE: 2058.4788
2024-11-28 17:43:25,229 - INFO - Epoch 26/100 - Train Loss: 7217297.4970, RMSE: 2368.4624 | Val Loss: 4979615.5179, RMSE: 2138.4159
2024-11-28 17:43:29,452 - INFO - Epoch 27/100 - Train Loss: 7098924.1745, RMSE: 2359.6697 | Val Loss: 4785392.2242, RMSE: 2098.8523
2024-11-28 17:43:33,654 - INFO - Epoch 28/100 - Train Loss: 7171836.7550, RMSE: 2389.8702 | Val Loss: 4775433.3710, RMSE: 2103.0936
2024-11-28 17:43:37,876 - INFO - Epoch 29/100 - Train Loss: 7066011.4970, RMSE: 2373.1295 | Val Loss: 4541304.4583, RMSE: 2043.2579
2024-11-28 17:43:42,486 - INFO - Epoch 30/100 - Train Loss: 6951018.4090, RMSE: 2340.1211 | Val Loss: 4816909.1825, RMSE: 2092.7221
2024-11-28 17:43:47,077 - INFO - Epoch 31/100 - Train Loss: 6704571.7875, RMSE: 2283.0164 | Val Loss: 4793715.1111, RMSE: 2089.2359
2024-11-28 17:43:51,412 - INFO - Epoch 32/100 - Train Loss: 6858423.1390, RMSE: 2312.7123 | Val Loss: 4897397.5119, RMSE: 2103.0513
2024-11-28 17:43:55,797 - INFO - Epoch 33/100 - Train Loss: 6815456.7085, RMSE: 2287.1040 | Val Loss: 4950718.5397, RMSE: 2100.8840
2024-11-28 17:44:00,192 - INFO - Epoch 34/100 - Train Loss: 6868234.8195, RMSE: 2303.2897 | Val Loss: 4486034.3353, RMSE: 2034.3996
2024-11-28 17:44:04,719 - INFO - Epoch 35/100 - Train Loss: 6850016.4240, RMSE: 2296.8648 | Val Loss: 5757863.8988, RMSE: 2311.2518
2024-11-28 17:44:09,070 - INFO - Epoch 36/100 - Train Loss: 6612114.7090, RMSE: 2253.4672 | Val Loss: 6374470.4861, RMSE: 2383.3464
2024-11-28 17:44:13,295 - INFO - Epoch 37/100 - Train Loss: 6807063.7315, RMSE: 2300.1249 | Val Loss: 4740750.4087, RMSE: 2071.6711
2024-11-28 17:44:17,733 - INFO - Epoch 38/100 - Train Loss: 6245247.4290, RMSE: 2179.4035 | Val Loss: 5033148.7619, RMSE: 2132.8631
2024-11-28 17:44:17,806 - INFO - Early stopping triggered at epoch 38
2024-11-28 17:44:17,808 - INFO - Validation phase completed. Now training on full dataset...
2024-11-28 17:44:23,064 - INFO - Epoch 1/100 - Train Loss: 123124250.3283, RMSE: 9308.0032
2024-11-28 17:44:28,125 - INFO - Epoch 2/100 - Train Loss: 16482549.5695, RMSE: 3623.0383
2024-11-28 17:44:33,081 - INFO - Epoch 3/100 - Train Loss: 13049489.3307, RMSE: 3205.4288
2024-11-28 17:44:38,158 - INFO - Epoch 4/100 - Train Loss: 12166635.3059, RMSE: 3127.6579
2024-11-28 17:44:43,269 - INFO - Epoch 5/100 - Train Loss: 11486567.2812, RMSE: 3011.0915
2024-11-28 17:44:48,450 - INFO - Epoch 6/100 - Train Loss: 10819368.9840, RMSE: 2951.3702
2024-11-28 17:44:53,645 - INFO - Epoch 7/100 - Train Loss: 10300233.0671, RMSE: 2871.1414
2024-11-28 17:44:58,866 - INFO - Epoch 8/100 - Train Loss: 10020116.8814, RMSE: 2806.1273
2024-11-28 17:45:04,066 - INFO - Epoch 9/100 - Train Loss: 9480165.4940, RMSE: 2761.1107
2024-11-28 17:45:09,291 - INFO - Epoch 10/100 - Train Loss: 9504892.4996, RMSE: 2747.8534
2024-11-28 17:45:14,599 - INFO - Epoch 11/100 - Train Loss: 9165905.2005, RMSE: 2685.5352
2024-11-28 17:45:20,219 - INFO - Epoch 12/100 - Train Loss: 9031159.5415, RMSE: 2684.8366
2024-11-28 17:45:25,204 - INFO - Epoch 13/100 - Train Loss: 8854069.5703, RMSE: 2687.5462
2024-11-28 17:45:30,469 - INFO - Epoch 14/100 - Train Loss: 8768504.8227, RMSE: 2649.6777
2024-11-28 17:45:35,531 - INFO - Epoch 15/100 - Train Loss: 8227392.8079, RMSE: 2590.2132
2024-11-28 17:45:40,688 - INFO - Epoch 16/100 - Train Loss: 8589841.9393, RMSE: 2646.1449
2024-11-28 17:45:45,820 - INFO - Epoch 17/100 - Train Loss: 8069473.5903, RMSE: 2564.2341
2024-11-28 17:45:51,014 - INFO - Epoch 18/100 - Train Loss: 7986500.2664, RMSE: 2561.1561
2024-11-28 17:45:55,896 - INFO - Epoch 19/100 - Train Loss: 7770922.1542, RMSE: 2524.6490
2024-11-28 17:46:00,890 - INFO - Epoch 20/100 - Train Loss: 7597778.3207, RMSE: 2470.4201
2024-11-28 17:46:06,154 - INFO - Epoch 21/100 - Train Loss: 7363978.9277, RMSE: 2448.5664
2024-11-28 17:46:11,601 - INFO - Epoch 22/100 - Train Loss: 7373386.6042, RMSE: 2449.2015
2024-11-28 17:46:16,636 - INFO - Epoch 23/100 - Train Loss: 7304738.3311, RMSE: 2437.0201
2024-11-28 17:46:21,641 - INFO - Epoch 24/100 - Train Loss: 7299468.0152, RMSE: 2435.7451
2024-11-28 17:46:26,993 - INFO - Epoch 25/100 - Train Loss: 7131471.8994, RMSE: 2417.4967
2024-11-28 17:46:32,312 - INFO - Epoch 26/100 - Train Loss: 7255548.4425, RMSE: 2430.9330
2024-11-28 17:46:37,698 - INFO - Epoch 27/100 - Train Loss: 7179065.7232, RMSE: 2407.0960
2024-11-28 17:46:43,066 - INFO - Epoch 28/100 - Train Loss: 6908289.8263, RMSE: 2369.4519
2024-11-28 17:46:48,345 - INFO - Epoch 29/100 - Train Loss: 6810549.2484, RMSE: 2362.5536
2024-11-28 17:46:53,796 - INFO - Epoch 30/100 - Train Loss: 6732727.1625, RMSE: 2347.5725
2024-11-28 17:46:59,153 - INFO - Epoch 31/100 - Train Loss: 6782973.1354, RMSE: 2348.0971
2024-11-28 17:47:04,334 - INFO - Epoch 32/100 - Train Loss: 6667671.7504, RMSE: 2327.6505
2024-11-28 17:47:09,629 - INFO - Epoch 33/100 - Train Loss: 6708320.2344, RMSE: 2329.1206
2024-11-28 17:47:15,224 - INFO - Epoch 34/100 - Train Loss: 6588018.6829, RMSE: 2297.2229
2024-11-28 17:47:20,734 - INFO - Epoch 35/100 - Train Loss: 6653963.4381, RMSE: 2311.5270
2024-11-28 17:47:25,923 - INFO - Epoch 36/100 - Train Loss: 6591076.0623, RMSE: 2299.4345
2024-11-28 17:47:31,806 - INFO - Epoch 37/100 - Train Loss: 6523021.8183, RMSE: 2295.8924
2024-11-28 17:47:37,688 - INFO - Epoch 38/100 - Train Loss: 6451105.7093, RMSE: 2286.7715
2024-11-28 17:47:43,477 - INFO - Epoch 39/100 - Train Loss: 6500743.9609, RMSE: 2277.1522
2024-11-28 17:47:49,196 - INFO - Epoch 40/100 - Train Loss: 6573772.9141, RMSE: 2296.4037
2024-11-28 17:47:55,028 - INFO - Epoch 41/100 - Train Loss: 6315476.1945, RMSE: 2251.4976
2024-11-28 17:48:00,311 - INFO - Epoch 42/100 - Train Loss: 6533739.7943, RMSE: 2283.2490
2024-11-28 17:48:05,671 - INFO - Epoch 43/100 - Train Loss: 6188468.5383, RMSE: 2226.0590
2024-11-28 17:48:11,374 - INFO - Epoch 44/100 - Train Loss: 6352270.3890, RMSE: 2252.3190
2024-11-28 17:48:17,272 - INFO - Epoch 45/100 - Train Loss: 6264433.3211, RMSE: 2229.4619
2024-11-28 17:48:22,707 - INFO - Epoch 46/100 - Train Loss: 6075730.2815, RMSE: 2194.7599
2024-11-28 17:48:27,880 - INFO - Epoch 47/100 - Train Loss: 6377262.4181, RMSE: 2246.2590
2024-11-28 17:48:33,104 - INFO - Epoch 48/100 - Train Loss: 6034059.3634, RMSE: 2210.1931
